ID	DOCULECT	CONCEPT	FORM	TOKENS	COGNATES
1	German	all	al	a l	1
2	English	all	ɔːl	ɔː l	1
3	Danish	all	æˀl	æˀ l	1
4	Swedish	all	alː	a lː	1
5	Icelandic	all	at͡lir	a t͡l i r	1
6	Dutch	all	ɑlə	ɑ l ə	1
7	Norwegian	all	ɑlə	ɑ l ə	1
8	German	ashes	aʃə	a ʃ ə	2
9	English	ashes	æʃ	æ ʃ	2
10	Danish	ashes	asg	a s g	2
11	Swedish	ashes	asːka	a sː k a	2
12	Icelandic	ashes	aska	a s k a	2
13	Dutch	ashes	ɑs	ɑ s	2
14	Norwegian	ashes	ɑsk	ɑ s k	2
15	German	bark	rɪndə	r ɪ n d ə	5
16	English	bark	bɑːrk	b ɑː r k	4
17	Danish	bark	bɑːg	b ɑː g	4
18	Swedish	bark	barːk	b a rː k	4
19	Icelandic	bark	bœrkʏr	b œ r k ʏ r	4
20	Dutch	bark	bɑst	b ɑ s t	3
